GSM4556603,GSM4556604,GSM4556605,GSM4556606,GSM4556607,GSM4556608,GSM4556609,GSM4556610,GSM4556611,GSM4556612,GSM4556613,GSM4556614,GSM4556615,GSM4556616,GSM4556617,GSM4556618,GSM4556619,GSM4556620,GSM4556621,GSM4556622,GSM4556623,GSM4556624,GSM4556625,GSM4556626,GSM4556627,GSM4556628,GSM4556629,GSM4556630,GSM4556631,GSM4556632,GSM4556633,GSM4556634,GSM4556635,GSM4556636,GSM4556637,GSM4556638,GSM4556639,GSM4556640,GSM4556641,GSM4556642,GSM4556643,GSM4556644,GSM4556645,GSM4556646,GSM4556647,GSM4556648,GSM4556649,GSM4556650,GSM4556651,GSM4556652,GSM4556653,GSM4556654,GSM4556655,GSM4556656,GSM4556657,GSM4556658,GSM4556659,GSM4556660,GSM4556661,GSM4556662,GSM4556663,GSM4556664,GSM4556665,GSM4556666,GSM4556667,GSM4556668,GSM4556669,GSM4556670,GSM4556671,GSM4556672,GSM4556673,GSM4556674,GSM4556675,GSM4556676,GSM4556677,GSM4556678,GSM4556679,GSM4556680,GSM4556681,GSM4556682,GSM4556683,GSM4556684,GSM4556685
4.73026424,3.76819819,2.16446567,2.29109801,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.38273224,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.07172296,-0.18436407,1.69313158,0.57968831,2.08350019,2.04019602,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,2.78162481,2.17599345,2.61380282,2.06897269,2.35188436,4.24563485,2.86605195,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,2.17002581,0.88893687,2.26511945,1.90700369,3.20431677,3.65229693
4.73026424,3.76819819,2.16446567,1.93582275,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,3.08817689,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.07172296,-0.18436407,1.69313158,0.57968831,2.08350019,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,2.17984942,2.17599345,2.61380282,2.06897269,2.35188436,2.18079198,2.07611528,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,2.68452174,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.01761221
4.73026424,3.76819819,2.48120513,1.93582275,4.29877306,2.21290366,1.43571865,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,4.269406,0.9297229,0.20430175,2.50897215,0.07172296,-0.18436407,1.69313158,0.57968831,2.08350019,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,5.04971732,4.21103768,2.61380282,2.88207403,2.46050671,4.8036075,4.12051776,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,2.18874451,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,2.47546903,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,1.28729116,1.81417581,0.77919134,1.9119298,4.33607909,0.64366079,1.83291201,2.13805798,0.88893687,1.34599578,1.90700369,3.20431677,2.80999794
4.73026424,3.76819819,2.16446567,1.93582275,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,2.84347262,2.67442064,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.07172296,-0.18436407,1.69313158,0.57968831,2.79547179,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,3.77200079,2.17599345,2.61380282,2.06897269,2.35188436,2.60506703,3.45387645,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,2.77581335,1.44784136,2.21875105,4.54161181,0.74938294,-0.35058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.19620489
4.73026424,3.76819819,2.96660722,1.93582275,2.65749336,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.60161794,3.23183913,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.07172296,-0.18436407,1.69313158,0.57968831,2.08350019,1.61980405,1.63979413,2.68099633,1.38087434,2.30961584,1.08599195,2.29109044,0.68979037,1.80535748,2.10948913,3.08149081,2.30559676,5.24156063,2.17599345,2.61380282,2.8234874,3.20368819,2.18079198,4.31474003,3.93845044,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,1.81334667,1.5101524,3.22530096,2.63073733,2.18874451,1.44784136,2.21875105,3.22866152,0.74938294,-0.45058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,1.9119298,3.19054981,0.64366079,1.83291201,1.86783187,0.88893687,1.34599578,1.90700369,3.20431677,2.01761221
4.73026424,3.76819819,2.94660553,4.03364375,2.46375134,2.94237923,3.73086482,2.37496931,3.19790403,0.53925632,2.2750198,2.54256752,2.48640373,3.80689865,2.50844369,2.68952674,1.46644812,2.8345463,2.95576213,0.07336155,4.88511092,0.9297229,2.05695982,3.23265479,2.14225512,-0.0505132,1.69313158,0.57968831,2.08350019,3.23059182,2.16269876,2.68099633,2.10415546,2.30961584,3.18850347,2.29109044,1.75759512,2.45298636,2.36224242,3.65210814,2.30559676,6.58146369,3.19369296,2.8147229,3.90445569,4.47650096,3.34256424,6.70377802,3.93845044,2.84581439,2.51674052,3.74346057,0.90960063,2.72209591,2.79643827,1.80396704,1.88406123,2.63073733,3.13610091,4.11702662,3.21328032,3.10705285,2.06742054,2.27981147,2.26554332,2.76829286,3.10692183,2.78654245,1.46165299,1.45903681,0.95366115,1.59201329,1.09261548,4.0227416,4.15013826,1.58549792,2.0852403,1.86783187,0.88893687,2.75395651,3.30925199,3.80392993,3.90463325
4.7302642,4.5396894,3.0422986,4.2311413,3.4843051,2.7186721,3.0243335,2.3749693,2.7711316,1.9077494,2.2750198,2.892665,2.3185349,2.014077,3.2757671,2.8246687,3.3416421,1.9654083,2.9557621,1.8799648,3.3604634,2.267098,2.158348,2.8335081,2.8830366,1.9364317,3.1030988,2.1066872,2.9291416,2.6627266,2.7534659,3.112932,2.5146477,2.3096158,1.9199455,3.0276436,1.9456953,3.260875,2.1094891,3.0814908,3.365615,6.3743559,2.780553,2.6138028,2.0689727,3.8984978,3.4271135,4.6126922,3.9384504,2.1203143,3.4571014,4.4297734,1.2791991,3.4247041,1.8133467,1.5101524,3.0203754,3.1213339,3.4838138,2.494245,2.2187511,3.0052171,1.7203535,3.7857819,2.2554067,2.2270249,2.6963316,2.310535,1.461653,2.110703,2.2560993,1.2875343,2.6862288,3.1056995,3.5119868,2.8588295,3.3385709,3.188377,2.0233534,1.3459958,2.1053277,3.2043168,3.9189373
5.30753846,3.76819819,3.39305061,1.93582275,0.62038029,2.21290366,1.28448137,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.01407696,0.60379418,0.18403042,1.46644812,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,0.89317533,-0.18436407,1.69313158,0.57968831,2.08350019,1.61980405,1.63979413,4.18462263,1.38087434,2.30961584,1.21222196,2.29109044,0.68979037,1.50767307,2.7349005,3.08149081,3.53566709,2.17984942,2.17599345,2.61380282,2.78248772,2.35188436,2.18079198,2.67327916,4.8058206,1.20176773,2.51674052,3.74346057,0.90960063,2.72209591,2.04482124,1.5101524,1.88406123,2.63073733,3.04152865,1.44784136,2.21875105,3.00521708,0.74938294,-0.45058112,1.88758437,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,0.95366115,1.28753434,0.77919134,2.35560927,3.68086648,0.64366079,1.83291201,1.86783187,0.88893687,2.14871406,2.57863555,3.20431677,2.01761221
5.07778,4.820804,5.595109,6.755061,4.133134,3.307079,5.672587,3.138181,4.951123,4.811625,4.831254,4.541085,1.692811,5.275811,3.582397,5.633761,3.118703,3.27452,4.803677,2.381675,5.739522,4.994377,5.35477,2.531795,3.564846,3.743414,4.212915,3.38018,4.42901,6.965106,4.955346,3.294602,6.857043,2.309616,6.339265,2.714564,1.828308,6.676582,7.412136,6.537225,5.111751,6.86763,7.202745,7.03071,5.848878,6.1382,4.779475,6.518862,3.93845,5.020114,5.614976,6.154191,4.415543,2.722096,4.442247,2.567361,3.413523,4.369553,4.878378,5.609985,3.929336,5.459402,4.695364,4.557278,2.57887,3.790933,3.456693,4.118179,1.700963,4.692926,4.570014,5.01123,5.321169,6.102088,5.765158,5.186458,3.815442,1.867832,5.199579,4.998421,5.751158,5.693288,7.139879
4.73026424,4.19428509,2.16446567,2.95299601,1.51032415,2.21290366,2.28652563,2.37496931,2.28400447,0.53925632,2.2750198,2.54256752,1.48478286,2.20592767,2.48510581,0.18403042,1.97073961,1.84126729,2.95576213,0.07336155,3.36046339,0.9297229,0.20430175,2.17210699,1.97342912,1.24675478,1.69313158,0.75656704,2.08350019,1.61980405,1.63979413,2.68099633,2.39943643,2.30961584,1.08599195,2.29109044,0.68979037,1.50767307,2.10948913,3.08149081,2.30559676,4.46977583,2.54990252,2.61380282,2.06897269,2.35188436,2.18079198,3.90169794,3.93845044,1.38488371,2.51674052,3.90524237,0.90960063,2.72209591,1.81334667,1.5101524,1.88406123,2.63073733,3.40335317,3.28315317,2.21875105,3.85523297,0.74938294,2.01229918,2.89223228,1.62135971,1.60065896,2.31053499,1.46165299,1.10704176,2.28085348,1.28753434,0.77919134,1.9119298,3.19054981,1.56977372,1.95084289,2.96166514,0.99940584,1.34599578,1.90700369,3.20431677,2.60964975
